Report Year,Country,Region,Subregion,Assessment Area,Unit,Description,Actual,Year 0,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10
1993,CA,MRO,-,-,MW,Peak Hour Demand - Winter,6013,6226,6283,6352,6431,6526,6593,6669,6733,6794,6858,
1993,CA,NPCC,-,-,MW,Peak Hour Demand - Summer,41753,40936,41983,43282,44445,45952,47030,47947,48675,49492,50258,
1993,CA,NPCC,-,-,MW,Peak Hour Demand - Winter,54841,60437,62289,63984,65955,67343,68491,69531,70689,71707,72752,
1993,CA,NPCC,Maritimes,Maritimes,MW,Peak Hour Demand - Summer,3009,3208,3261,3331,3417,3487,3555,3615,3668,3727,3786,
1993,CA,NPCC,Maritimes,Maritimes,MW,Peak Hour Demand - Winter,4718,4833,4918,5022,5140,5240,5337,5424,5504,5577,5650,
1993,CA,NPCC,Ontario,Ontario,MW,Peak Hour Demand - Summer,19939,19688,19912,20331,20798,21355,21955,22352,22667,23035,23442,
1993,CA,NPCC,Ontario,Ontario,MW,Peak Hour Demand - Winter,21992,23034,23431,23962,24555,24793,25104,25387,25715,26040,26372,
1993,CA,NPCC,Quebec,Quebec,MW,Peak Hour Demand - Summer,18805,18040,18810,19620,20230,21110,21520,21980,22340,22730,23030,
1993,CA,NPCC,Quebec,Quebec,MW,Peak Hour Demand - Winter,28131,32570,33940,35000,36260,37310,38050,38720,39470,40090,40730,
1993,CA,WECC,-,-,MW,Peak Hour Demand - Summer,12160,12045,12495,12894,13094,13279,13542,13742,14010,14263,14372,
1993,CA,WECC,-,-,MW,Peak Hour Demand - Winter,15247,15699,16223,16675,16914,17120,17455,17803,18140,18533,18759,
1993,MX,WECC,CA-MX,-,MW,Peak Hour Demand - Summer,946,1009,1076,1145,1227,1315,1431,1532,1645,1764,1886,
1993,MX,WECC,CA-MX,-,MW,Peak Hour Demand - Winter,624,738,787,837,897,972,1046,1120,1203,1290,1379,
1993,US,ECAR,-,-,MW,Peak Hour Demand - Summer,78550,82409,84151,85488,86764,87957,89116,90402,91636,92910,94291,
1993,US,ECAR,-,-,MW,Peak Hour Demand - Winter,72885,77467,78685,79888,81023,82136,83382,84499,85689,86851,88024,
1993,US,TRE,-,ERCOT,MW,Peak Hour Demand - Summer,42619,45005,45457,46307,47096,48183,49258,50439,51704,52997,54332,
1993,US,TRE,-,ERCOT,MW,Peak Hour Demand - Winter,35055,36280,37154,37926,38933,39961,41045,42177,43319,44671,45744,
1993,US,FRCC,-,FRCC,MW,Peak Hour Demand - Summer,30601,30723,31464,32373,33081,33792,34650,35371,36100,36802,37480,
1993,US,FRCC,-,FRCC,MW,Peak Hour Demand - Winter,30616,33604,34500,35600,36607,37934,38915,39830,40734,41470,42356,
1993,US,MAAC,-,-,MW,Peak Hour Demand - Summer,43658,44348,44899,45354,45866,46397,46985,47590,48192,48761,49400,
1993,US,MAAC,-,-,MW,Peak Hour Demand - Winter,37915,39293,39771,40301,40873,41502,42163,42797,43416,44088,44818,
1993,US,MAIN,-,-,MW,Peak Hour Demand - Summer,38819,42342,43112,44001,44801,45611,46435,47278,48122,48918,49659,
1993,US,MAIN,-,-,MW,Peak Hour Demand - Winter,31289,34653,35389,36057,36728,37460,38165,38893,39634,40363,40994,
1993,US,MRO,-,-,MW,Peak Hour Demand - Summer,22638,28136,28741,29234,29706,30102,30631,31203,31748,32229,32871,
1993,US,MRO,-,-,MW,Peak Hour Demand - Winter,21866,22924,23320,23701,24076,24451,24915,25388,25818,26243,26699,
1993,US,NPCC,-,-,MW,Peak Hour Demand - Summer,43658,46314,46521,47036,47764,48447,49231,50068,50825,51544,52418,
1993,US,NPCC,-,-,MW,Peak Hour Demand - Winter,41125,42743,43127,43685,44332,44999,45819,46521,47225,47941,48704,
1993,US,NPCC,New England,New England,MW,Peak Hour Demand - Summer,18707,19694,19751,20276,20814,21367,21971,22628,23145,23704,24278,
1993,US,NPCC,New England,New England,MW,Peak Hour Demand - Winter,18853,19333,19457,19895,20342,20799,21379,21851,22305,22791,23304,
1993,US,NPCC,New York,New York,MW,Peak Hour Demand - Summer,24951,26620,26770,26760,26950,27080,27260,27440,27680,27840,28140,
1993,US,NPCC,New York,New York,MW,Peak Hour Demand - Winter,22272,23410,23670,23790,23990,24200,24440,24670,24920,25150,25400,
1993,US,SERC,-,-,MW,Peak Hour Demand - Summer,97635,101366,104058,106687,109157,111575,113824,116103,118421,121259,123995,
1993,US,SERC,-,-,MW,Peak Hour Demand - Winter,88218,94530,96870,99213,101592,103770,106340,108428,110855,113359,115571,
1993,US,SERC,Central,-,MW,Peak Hour Demand - Summer,22201,23294,23877,24340,24777,25244,25726,26223,26734,27429,28127,
1993,US,SERC,Central,-,MW,Peak Hour Demand - Winter,21469,23116,23638,24119,24639,25175,25719,26286,26954,27622,28289,
1993,US,SERC,Southeastern,-,MW,Peak Hour Demand - Summer,31820,33163,34082,35076,35929,36831,37482,38281,38873,39662,40391,
1993,US,SERC,Southeastern,-,MW,Peak Hour Demand - Winter,26799,27563,28437,29193,30003,30594,31314,31879,32541,33209,33862,
1993,US,SERC,VACAR,-,MW,Peak Hour Demand - Summer,43614,44909,46099,47271,48451,49500,50616,51599,52814,54168,55477,
1993,US,SERC,VACAR,-,MW,Peak Hour Demand - Winter,39950,43851,44795,45901,46950,48001,49307,50263,51360,52528,53420,
1993,US,SPP,-,-,MW,Peak Hour Demand - Summer,51324,53956,55307,56201,56980,57772,58540,59218,60229,61204,62207,
1993,US,SPP,-,-,MW,Peak Hour Demand - Winter,39912,40791,41514,42298,43000,43761,44567,45413,46320,47180,47991,
1993,US,WECC,-,-,MW,Peak Hour Demand - Summer,99205,98393,100229,101847,103415,105499,107174,108761,110827,112126,113814,
1993,US,WECC,-,-,MW,Peak Hour Demand - Winter,91686,92464,94140,95898,97445,98842,100257,101721,103152,104514,106105,
1993,US,WECC,AZN,-,MW,Peak Hour Demand - Summer,12956,12820,13134,13544,13866,14197,14474,14794,15110,15411,15679,
1993,US,WECC,AZN,-,MW,Peak Hour Demand - Winter,9478,10708,11105,11463,11763,12010,12274,12535,12810,13081,13358,
1993,US,WECC,CNV,-,MW,Peak Hour Demand - Summer,49983,49181,49984,50813,51751,52748,53625,54563,55582,56164,57028,
1993,US,WECC,CNV,-,MW,Peak Hour Demand - Winter,37076,36978,37824,38586,39244,39659,40662,41046,41924,42284,42909,
